rss_ch_sources
url,source,region
https://www.taiwannews.com.tw/rss/politics.xml,Taiwan News,TW
https://www.rti.org.tw/rss/politics.xml,RTI,TW
https://feeds.feedburner.com/amti/Taiwan,AMTI,US
https://chinadigitaltimes.net/chinese/feed/,China Digital Times,US
https://jamestown.org/feed/,Jamestown Foundation,US
https://csis-website-prod.s3.amazonaws.com/s3fs-public/rss.xml,CSIS,US
https://feeds.bbci.co.uk/zhongwen/trad/rss.xml,BBC Chinese,UK
https://www.voachinese.com/api/zkqoegqvqo,VOA Chinese,US
https://www.dw.com/zh-hant/rss,DW Chinese,DE
https://www.thenewslens.com/feed,The News Lens,TW
https://www.iorg.tw/feed,IORG Taiwan,TW
https://tfc-taiwan.org.tw/rss/articles,TFC FactCheck,TW
https://www.mygopen.com/feeds/posts/default,MyGoPen,TW
https://www.doublecheck.tw/feed,DoubleCheck,TW
https://www.mac.gov.tw/RSS/MacRss.ashx?Type=News,MAC Taiwan,TW
https://www.mjib.gov.tw/rss/investigatePublish.xml,MJIB Taiwan,TW
https://www.mofa.gov.tw/rss/RssNews.aspx,MOFA Taiwan,TW
https://feeds.feedburner.com/TheChinaMediaProject,China Media Project,HK
https://chinafile.com/feed,ChinaFile,US
https://thediplomat.com/feed/,The Diplomat,JP
https://www.scmp.com/rss/91/feed,SCMP China,HK
https://www.ft.com/china?format=rss,Financial Times China,UK
https://www.defenseone.com/rss/,Defense One,US
https://www.rand.org/pubs/rss/research_reports.xml,RAND Corporation,US
https://www.atlanticcouncil.org/feed/,Atlantic Council,US
https://warontherocks.com/feed/,War on the Rocks,US
https://www.nbr.org/feed/,NBR,US
https://project2049.net/feed/,Project 2049,US
https://www.foreignaffairs.com/rss.xml,Foreign Affairs,US
https://carnegieendowment.org/feeds/all,Carnegie Endowment,US
https://cisac.fsi.stanford.edu/feed,Stanford CISAC,US
https://www.cfr.org/councilofcouncils/global-memos/rss.xml,CFR,US
https://www.brookings.edu/feed/,Brookings Institution,US
https://asiasociety.org/feed,Asia Society,US
https://www.wilsoncenter.org/rss-feeds/publications,Wilson Center,US
https://www.aspistrategist.org.au/feed/,ASPI,AU
https://www.lowyinstitute.org/the-interpreter/feed,Lowy Institute,AU
https://css.ethz.ch/en/publications.rss,ETH CSS,CH
https://merics.org/en/rss.xml,MERICS,DE
https://rusi.org/rss/articles,RUSI,UK
https://thinkchina.sg/feed,ThinkChina,SG
https://www.iseas.edu.sg/feed/,ISEAS,SG
https://www.channelnewsasia.com/api/v1/rss-outbound-feed?_format=xml&category=6511,CNA Asia,SG
https://nationalinterest.org/rss/type/feature/region/208,The National Interest,US
https://www.thedrive.com/the-war-zone/rss/all,The War Zone,US
https://secureworldfoundation.org/feed/,Secure World Foundation,US
https://cgpolicy.org/feed/,Center for Global Policy,US
https://safeguarddefenders.com/en/rss.xml,Safeguard Defenders,ES
https://freedomhouse.org/rss.xml,Freedom House,US
https://www.hudson.org/rss.xml,Hudson Institute,US
https://www.ománobserver.om/feed/,Oman Observer,OM
https://www.defensenews.com/arc/outboundfeeds/rss/,Defense News,US
https://www.janes.com/feeds/news,Janes,UK
https://nationalpost.com/category/news/world/feed,National Post World,CA
